变化名称,变化阶段,要素类型,变化置信度,发现变化时间,是否需要测绘,3613规则,要素地址,线索信息,__x__,__y__
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
东浦街道建成环西路停车场,建成,建筑物,高,20180502,是,三个月更新,越城区东浦街,新闻,120.611891,30.009496
鉴湖街道建成绍兴首个村级“智慧农村”平台,建成,建筑物,高,20180502,是,三个月更新,越城区鉴湖街,新闻,120.611891,30.009496
灵芝街道齐林公路竣工验收圆满完成,竣工,道路,高,20171222,是,三个月更新,越城区灵芝街道,新闻,120.611891,30.009496
车站北路维修工程竣工验收顺利完成,竣工,道路,高,20171129,是,三个月更新,越城区,新闻,120.575464,30.019484
灵芝最美广场—界树广场竣工验收顺利完成,竣工,建筑物,高,20171114,是,三个月更新,越城区灵芝街道,新闻,120.611891,30.009496
城郊组团安置房建设正式竣工,竣工,建筑物,高,20171110,是,三个月更新,越城区,新闻,120.611891,30.009496
绍兴市保障性住房二期（鉴湖E地块）工程顺利通过竣工验收,竣工,建筑物,高,20170721,是,三个月更新,越城区,新闻,120.611891,30.009496
东浦镇“鲁西法治广场”顺利建成,建成,建筑物,高,20170331,是,三个月更新,越城区东浦街,新闻,120.611891,30.009496
北海街道又一社区居家养老服务照料中心建成开放,建成,建筑物,高,20170331,是,三个月更新,越城区北海街,新闻,120.611891,30.009496
富盛上旺村实物陈列馆建成,建成,建筑物,高,20170207,是,三个月更新,越城区,新闻,120.611891,30.009496
东湖镇小皋埠村建成自然村公厕改造新建工程招标公告,建成,建筑物,高,20170310,是,三个月更新,越城区东湖镇,新闻,120.637719,29.996544
越城区完成和尚坞山塘综合整治工程竣工验收,竣工,建筑物,高,20161020,是,三个月更新,越城区,新闻,120.611891,30.009496
灵芝镇卫生院综合楼工程全面竣工,竣工,建筑物,高,20160612,是,三个月更新,越城区灵芝镇,新闻,120.578409,30.025663
东湖镇开展建成区环境综合整治大行动,建成,建筑物,低,20160516,否,三个月更新,越城区东湖镇,新闻,120.637719,29.996544
越城区持续推广阅读 建成馆外流通站拓展服务功能,建成,建筑物,高,20160506,是,三个月更新,越城区,新闻,120.611891,30.009496
区人社局结对向阳村健身文化活动广场建成并投入使用,建成,建筑物,高,20151023,是,三个月更新,越城区向阳村,新闻,120.528306,30.076304
向阳村健身文化活动广场建成并投入使用,建成,建筑物,高,20151021,是,三个月更新,越城区向阳村,新闻,120.528306,30.076304
越城区建成首个健康主题公园,建成,建筑物,高,20150922,是,三个月更新,越城区,新闻,120.611891,30.009496
越城区农村小型公益设施项目建成并投入使用,建成,建筑物,高,20150709,是,三个月更新,越城区,新闻,120.611891,30.009496
皋埠镇后孟葑村建成高新区首只水环境整治处理中转站,建成,建筑物,高,20150602,是,三个月更新,越城区皋埠镇,新闻,120.675206,30.00695
北海街道提前建成北海临时周转市场,建成,建筑物,高,20150416,是,三个月更新,越城区北海街,新闻,120.611891,30.009496
灵芝镇小观村变废为宝，建成停车场,建成,建筑物,高,20150410,是,三个月更新,越城区灵芝镇,新闻,120.578409,30.025663
东浦镇顺利建成首个液压式垃圾中转站,建成,建筑物,高,20150320,是,三个月更新,越城区东浦街,新闻,120.611891,30.009496
乐昌苑•驸马池老小区改造基本完工,完工,建筑物,高,20150317,是,三个月更新,越城区,新闻,120.611891,30.009496
鉴湖镇老年服务中心建设完工,完工,建筑物,高,20141027,是,三个月更新,越城区鉴湖街,新闻,120.573319,29.930749
城南街道横桥凤凰山安置房建设工程基本完工,完工,建筑物,高,20141010,是,三个月更新,越城区城南街,新闻,120.611891,30.009496
塔山街道罗北小区老小区改造全面完工,完工,建筑物,高,20140917,是,三个月更新,越城区塔山街,新闻,119.970382,30.522179
塔山街道观音弄•大池弄老小区改造基本完工,完工,建筑物,高,20140904,是,三个月更新,越城区塔山街,新闻,119.970382,30.522179
鉴湖镇镇域中心道路完工,完工,道路,高,20140227,是,三个月更新,越城区鉴湖街,新闻,120.611891,30.009496
北海街道北海西村区块老小区改造顺利完工,完工,建筑物,高,20131227,是,三个月更新,越城区北海街,新闻,120.611891,30.009496
东湖镇白莲岙村健身广场完工,完工,建筑物,高,20110926,是,三个月更新,越城区东湖镇,新闻,120.638855,29.982416
北海街道卫生房改造工程基本完工,完工,建筑物,高,20110713,是,三个月更新,越城区北海街,新闻,120.611891,30.009496
鉴湖镇两只省级小（二）型水库加固工程完工,完工,水库,高,20110228,是,三个月更新,越城区鉴湖街,新闻,120.573319,29.930749
鉴湖镇上谢墅村首批改善房工程已基本完工,完工,建筑物,高,20101019,是,三个月更新,越城区鉴湖街,新闻,120.611891,30.009496
鉴湖镇两只小二型水库整修和低产田改造完工,完工,水库,高,20080825,是,三个月更新,越城区鉴湖街,新闻,120.573319,29.930749
