标题,时间,地址
快阁苑小学塑胶跑道基层新建等工程招标公告,20180605,区教体局
经三路一期（规划纬二路至绍诸高速连接线)道路新建工程(监理）中标公示,20180509,鉴湖街道
经三路一期（规划纬二路至绍诸高速连接线)道路新建工程(监理),20180426,鉴湖街道
经三路一期（规划纬二路至绍诸高速连接线)道路新建工程（监理）招标公告,20180426,鉴湖街道
东浦街道庆丰村河砍新建及清於工程中标公示,20180411,东浦街道
东浦街道庆丰村河砍新建及清於工程招标公告,20180329,东浦街道
鉴湖街道坡塘文化礼堂（家宴中心）新建工程（施工）中标公示,20180213,鉴湖街道
鉴湖街道坡塘文化礼堂（家宴中心）新建工程（施工）招标公告,20180202,鉴湖街道
解南公路（K0+540-K0+920段）道路新建工程（监理）中标公示,20180119,鉴湖街道
解南公路（K0+540-K0+920段）道路新建工程监理招标公告,20180110,鉴湖街道
越城区皋埠镇前孟葑村“五星达标”--党建立面提升、新建围墙工程中标公示,20180105,皋埠镇
越城区皋埠镇前孟葑村“五星达标”--党建立面提升、新建围墙工程招标公告,20171225,皋埠镇
府山街道社区卫生服务中心易地新建室内装修工程（监理）工程中标公示,20171213,区卫计局
府山街道社区卫生服务中心易地新建室内装修工程（监理）招标公告,20171204,区卫计局
越城区皋埠镇坝头山村“五星达标”--社区服务中心立面改造及厕所新建工程中标公示,20171103,皋埠镇
越城区皋埠镇坝头山村“五星达标”--社区服务中心立面改造及厕所新建工程招标公告,20171020,皋埠镇
鉴湖镇王家葑村新建河坎工程（施工）中标公示,20171009,鉴湖镇
鉴湖镇王家葑村新建河坎工程（施工）招标公告,20170925,鉴湖镇
东浦镇清水闸村厕所新建（改建）工程项目中标公示,20170923,东浦镇
陶堰镇邵家溇休闲广场新建工程 中标公示,20170919,陶堰镇
东浦镇杨川村文化广场新建工程中标公示,20170914,东浦镇
东浦镇清水闸村厕所新建（改建）工程招标公告,20170913,东浦镇
陶堰镇邵家溇休闲广场新建工程 招标公告,20170911,陶堰镇
东浦镇王城寺村围墙新建工程中标公示,20170908,东浦镇
东浦镇杨川村文化广场新建工程招标公告,20170906,东浦镇
东浦镇王城寺村围墙新建工程招标公告,20170901,东浦镇
灵芝镇犭央犭茶湖村村内公共厕所新建、改造工程中标公示,20170823,灵芝镇
皋埠镇樊江村公厕新建、改建项目（樊江标段）中标公示,20170821,皋埠镇
皋埠镇樊江村公厕新建、改建项目（塘花标段）中标公示,20170821,皋埠镇
灵芝镇犭央犭茶湖村村内公共厕所新建、改造工程招标信息公告,20170815,灵芝镇
东浦镇督导新建学校食堂规范建设工作,20170814,东浦镇
府山街道朱家岙村公厕新建与改造工程中标公示,20170809,府山街道
皋埠镇后孟葑村公厕新建、改建工程中标公示,20170809,皋埠镇
皋埠镇樊江村公厕新建、改建项目（樊江标段）招标公告,20170807,皋埠镇
皋埠镇樊江村公厕新建、改建项目（塘花标段）招标公告,20170807,皋埠镇
皋埠镇吼山村1#、2#公厕新建工程中标公示,20170803,皋埠镇
皋埠镇坝口村--同心村公厕新建、改建工程中标公示,20170731,皋埠镇
皋埠镇坝口村--翠湾自然村公厕新建、改建工程中标公示,20170731,皋埠镇
府山街道朱家岙村公厕新建与改造工程招标公告,20170731,府山街道
皋埠镇后孟葑村公厕新建、改建工程招标公告,20170731,皋埠镇
绍兴市锡麟中学易地新建工程周边配套道路工程中标公示,20170725,东浦镇
皋埠镇吼山村1#、2#公厕新建工程招标公告,20170724,皋埠镇
府山街道社区卫生服务中心易地新建项目顺利通过主体验收,20170724,区卫计局
皋埠镇坝口村--翠湾自然村公厕新建、改建工程招标公告,20170720,皋埠镇
皋埠镇坝口村--同心村公厕新建、改建工程招标公告,20170720,皋埠镇
东湖镇五联公厕改建新建工程中标公示,20170717,东湖镇
绍兴市锡麟中学易地新建工程周边配套道路工程招标公告,20170717,东浦镇
东湖镇五联村公厕改造新建工程招标（补充）公告,20170712,东湖镇
东湖镇柏舍村新建公共厕所工程（施工）中标公示,20170703,东湖镇
东湖镇五联村公厕改造新建工程招标公告,20170629,东湖镇
东湖镇五和村公厕Ⅲ标(15#-21#)改造新建工程（施工）中标公示,20170626,东湖镇
东湖镇五和村公厕Ⅱ标(7#-14#)改造新建工程（施工）中标公示,20170626,东湖镇
